Mob_Name,Brand,Mob_Variant,Mob_Price,Mob_Star_Rating,Ratings,Mob_Review,Ram,GB/MB,Rom,GB/MB,Display,Battery,Camera
"Motorola G34 5G (Ice Blue, 128 GB)",Motorola, G34 5G ,10999,4.2,40675,3086,4,GB,128,GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"POCO C65 (Pastel Blue, 128 GB)",POCO, C65 ,7499,4.2,12278,640,6,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP + AI Lens + 2MP | 8MP Front Camera
"Motorola g04s (Sea Green, 64 GB)",Motorola, g04s ,6999,4.2,8734,494,4,GB,64,GB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,50MP Rear Camera | 5MP Front Camera
"Motorola g64 5G (Pearl Blue, 128 GB)",Motorola, g64 5G ,14999,4.2,20606,1120,8,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,50MP (OIS) + 8MP | 16MP Front Camera
"POCO C65 (Matte Black, 128 GB)",POCO, C65 ,7499,4.2,12278,640,6,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP + AI Lens + 2MP | 8MP Front Camera
"POCO C65 (Pastel Green, 128 GB)",POCO, C65 ,6999,4.3,38968,2076,4,GB,128,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP + AI Lens + 2MP | 8MP Front Camera
"POCO C65 (Pastel Green, 256 GB)",POCO, C65 ,9499,4.2,9509,520,8,GB,256,GB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,50MP + AI Lens + 2MP | 8MP Front Camera
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)",Motorola, Edge 50 Fusion ,24999,4.5,22250,1576,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 13MP | 32MP Front Camera
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)",Motorola, Edge 50 Fusion ,22999,4.5,27171,1706,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 13MP | 32MP Front Camera
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)",Motorola, Edge 50 Fusion ,24999,4.5,22250,1576,1,GB,256,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 13MP | 32MP Front Camera
LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,LAVA, A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32G,960,4.0,7045,321,4,GB,4,GB,4.5 cm (1.77 inch) Quarter QVGA Display,,
"Motorola g64 5G (Ice Lilac, 256 GB)",Motorola, g64 5G ,16999,4.2,12547,758,1,GB,256,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,50MP (OIS) + 8MP | 16MP Front Camera
"REDMI 12 (Pastel Blue, 128 GB)",REDMI, 12 ,9999,4.2,49813,3316,6,GB,128,GB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,50MP + 8MP + 2MP | 8MP Front Camera
"Motorola g64 5G (Mint Green, 128 GB)",Motorola, g64 5G ,14999,4.2,20606,1120,8,GB,128,GB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,50MP (OIS) + 8MP | 16MP Front Camera
"vivo T3 Lite 5G (Vibrant Green, 128 GB)",vivo, T3 Lite 5G ,11499,4.4,8162,287,6,GB,128,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"vivo T3 Lite 5G (Majestic Black, 128 GB)",vivo, T3 Lite 5G ,11499,4.4,8162,287,6,GB,128,GB,16.66 cm (6.56 inch) Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",OnePlus, Nord CE 3 Lite 5G ,17150,4.4,102044,5444,8,GB,128,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,108MP Rear Camera
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)",Motorola, Edge 50 Fusion ,22999,4.5,27171,1706,8,GB,128,GB,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,50MP + 13MP | 32MP Front Camera
"Apple iPhone 15 (Pink, 128 GB)",Apple, iPhone 15 ,66699,4.6,44348,2389,,GB,,GB,15.49 cm (6.1 inch) Super Retina XDR Display,,48MP + 12MP | 12MP Front Camera
"Motorola G34 5G (Charcoal Black, 128 GB)",Motorola, G34 5G ,10999,4.2,40675,3086,4,GB,128,GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,50MP + 2MP | 16MP Front Camera
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",OnePlus, Nord CE 3 Lite 5G ,16894,4.4,102044,5444,8,GB,128,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,108MP Rear Camera
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",OnePlus, Nord CE 3 Lite 5G ,18350,4.4,102044,5444,8,GB,256,GB,17.07 cm (6.72 inch) Display,5000 mAh Battery,108MP Rear Camera
"realme 12x 5G (Twilight Purple, 128 GB)",realme, 12x 5G ,14999,4.4,5016,222,8,GB,128,GB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
"realme 12x 5G (Woodland Green, 128 GB)",realme, 12x 5G ,14999,4.4,5016,222,8,GB,128,GB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,50MP + 2MP | 8MP Front Camera
